location,total_sqft,bath,balcony,price,oda,metrekare,price_per_m2
Electronic City Phase II,1056.0,2.0,1.0,39.07,2,98.105568,398.2444706910009
Chikka Tirupathi,2600.0,5.0,3.0,120.0,4,241.5478,496.7960792853423
Uttarahalli,1440.0,2.0,3.0,62.0,3,133.78032,463.4463424814652
Lingadheeranahalli,1521.0,3.0,1.0,95.0,3,141.305463,672.3023864972581
Kothanur,1200.0,2.0,1.0,51.0,2,111.4836,457.4663896752527
Whitefield,1170.0,2.0,1.0,38.0,2,108.69651,349.5972409785742
Marathahalli,1310.0,3.0,1.0,63.25,3,121.70293,519.7081122040365
Whitefield,1800.0,2.0,2.0,70.0,3,167.2254,418.5966964348717
Whitefield,2785.0,5.0,3.0,295.0,4,258.734855,1140.1633537159114
7th Phase JP Nagar,1000.0,2.0,1.0,38.0,2,92.903,409.0287719449318
Gottigere,1100.0,2.0,2.0,40.0,2,102.1933,391.4150927702697
Sarjapur,2250.0,3.0,2.0,148.0,3,209.03175,708.0264122555545
Mysore Road,1175.0,2.0,2.0,73.5,2,109.161025,673.3172393718363
Bisuvanahalli,1180.0,3.0,2.0,48.0,3,109.62554,437.854171573522
Raja Rajeshwari Nagar,1540.0,3.0,3.0,60.0,3,143.07062,419.37331368243184
other,2770.0,4.0,2.0,290.0,3,257.34131,1126.9080739505055
other,1100.0,2.0,2.0,48.0,2,102.1933,469.69811132432363
Kengeri,600.0,1.0,1.0,15.0,1,55.7418,269.0978762795604
Binny Pete,1755.0,3.0,1.0,122.0,3,163.044765,748.2607613927377
Thanisandra,2800.0,5.0,2.0,380.0,4,260.1284,1460.8170426604709
Bellandur,1767.0,3.0,1.0,103.0,3,164.159601,627.4381721968244
Thanisandra,510.0,1.0,0.0,25.25,1,47.38053,532.9193236124628
other,1250.0,3.0,2.0,56.0,3,116.12875,482.2233942929723
Electronic City,660.0,1.0,1.0,23.1,2,61.315979999999996,376.7370267913846
Whitefield,1610.0,3.0,2.0,81.0,3,149.57383,541.5385833203576
Ramagondanahalli,1151.0,2.0,2.0,48.77,2,106.931353,456.08700004010984
Electronic City,1025.0,2.0,1.0,47.0,3,95.225575,493.5648852737303
Yelahanka,2475.0,4.0,0.0,186.0,4,229.934925,808.9245250585574
Bisuvanahalli,1075.0,2.0,1.0,35.0,3,99.870725,350.4530481780322
Hebbal,1760.0,2.0,2.0,123.0,3,163.50928,752.250881417862
Raja Rajeshwari Nagar,1693.0,3.0,3.0,57.39,3,157.284779,364.8795539204719
Kanakpura Road,700.0,2.0,1.0,36.0,2,65.0321,553.5727740608099
Electronics City Phase 1,1070.0,2.0,1.0,45.5,2,99.40621,457.71788301757005
Kundalahalli,1724.0,3.0,2.0,125.0,3,160.164772,780.4462769128781
Chikkalasandra,1290.0,2.0,2.0,56.12,3,119.84487,468.2720253274087
Uttarahalli,1143.0,2.0,2.0,45.0,2,106.188129,423.77618311741793
Sarjapur  Road,1254.0,3.0,2.0,38.0,3,116.500362,326.1792439752247
other,600.0,1.0,0.0,38.0,1,55.7418,681.7146199082197
Yelahanka,660.0,1.0,0.0,48.0,1,61.315979999999996,782.8301855405394
Kanakpura Road,1330.74,2.0,2.0,91.79,2,123.62973822000001,742.4589044802395
Doddathoguru,970.0,2.0,0.0,33.0,2,90.11591,366.19504813301006
Whitefield,1459.0,2.0,1.0,94.82,2,135.545477,699.5438143612863
KR Puram,800.0,1.0,1.0,130.0,2,74.3224,1749.1361958171426
other,869.0,2.0,1.0,36.0,2,80.732707,445.9159284724591
other,1270.0,2.0,1.0,50.0,2,117.98681,423.77618311741793
Bhoganhalli,1670.0,3.0,1.0,99.0,3,155.14801,638.1003533335684
Whitefield,2010.0,3.0,2.0,91.0,3,186.73503,487.3215271928358
Lakshminarayana Pura,1185.0,2.0,2.0,75.0,2,110.09005499999999,681.2604462773681
Yelahanka,1600.0,2.0,3.0,75.0,3,148.6448,504.5585180241757
Begur Road,1200.0,2.0,2.0,44.0,2,111.4836,394.67688521002196
other,1500.0,2.0,2.0,185.0,2,139.3545,1327.5495229791645
Murugeshpalya,1407.0,4.0,1.0,150.0,6,130.714521,1147.538918036505
other,840.0,2.0,2.0,45.0,2,78.03852,576.6383063133437
other,4395.0,3.0,2.0,240.0,3,408.308685,587.7905829997223
